dated,ex_pi_1y
01jan1978,5.1999998
01feb1978,6.4000001
01mar1978,6.3000002
01apr1978,6.6999998
01may1978,6.9000001
01jun1978,6.5
01jul1978,6.5999999
01aug1978,8.6999998
01sep1978,6.9000001
01oct1978,7.4000001
01nov1978,7.5
01dec1978,7.3000002
01jan1979,7.8000002
01feb1979,9.3000002
01mar1979,8.8000002
01apr1979,9.6999998
01may1979,9.8000002
01jun1979,9.8999996
01jul1979,9.8999996
01aug1979,9.8999996
01sep1979,9.6000004
01oct1979,9
01nov1979,10
01dec1979,9.8999996
01jan1980,10.4
01feb1980,10
01mar1980,10.2
01apr1980,10.1
01may1980,8.6000004
01jun1980,8.5
01jul1980,9.6000004
01aug1980,7.5999999
01sep1980,9.1000004
01oct1980,9.6000004
01nov1980,8.6000004
01dec1980,9.6999998
01jan1981,9.5
01feb1981,8.6000004
01mar1981,7.1999998
01apr1981,8
01may1981,7.3000002
01jun1981,7.0999999
01jul1981,6.8000002
01aug1981,5.8000002
01sep1981,6.9000001
01oct1981,6.6999998
01nov1981,7.3000002
01dec1981,5.3000002
01jan1982,5.0999999
01feb1982,5.1999998
01mar1982,4.1999998
01apr1982,4.6999998
01may1982,3.5
01jun1982,4.5999999
01jul1982,5
01aug1982,4.8000002
01sep1982,4.5
01oct1982,4.6999998
01nov1982,4.5
01dec1982,3.7
01jan1983,2.8
01feb1983,3
01mar1983,1.8
01apr1983,3.4000001
01may1983,3.2
01jun1983,3.2
01jul1983,3.2
01aug1983,3.3
01sep1983,3.3
01oct1983,3.7
01nov1983,3.5
01dec1983,3.5
01jan1984,3.2
01feb1984,3.3
01mar1984,3.4000001
01apr1984,3.9000001
01may1984,4.1999998
01jun1984,4.1999998
01jul1984,3.4000001
01aug1984,3
01sep1984,3
01oct1984,3.5
01nov1984,3.4000001
01dec1984,3.3
01jan1985,2.9000001
01feb1985,3.0999999
01mar1985,3
01apr1985,3.3
01may1985,3.2
01jun1985,3.4000001
01jul1985,2.8
01aug1985,2.8
01sep1985,2.9000001
01oct1985,3.3
01nov1985,3.0999999
01dec1985,3.5
01jan1986,2.9000001
01feb1986,2.8
01mar1986,2.3
01apr1986,2.4000001
01may1986,2.7
01jun1986,2.9000001
01jul1986,2.8
01aug1986,3
01sep1986,2.9000001
01oct1986,3.2
01nov1986,2.8
01dec1986,3
01jan1987,2.9000001
01feb1987,3.0999999
01mar1987,3
01apr1987,3
01may1987,3.4000001
01jun1987,3.3
01jul1987,3.0999999
01aug1987,3.2
01sep1987,3
01oct1987,3.3
01nov1987,3.2
01dec1987,3.0999999
01jan1988,3.2
01feb1988,3.0999999
01mar1988,3.2
01apr1988,3.3
01may1988,3.3
01jun1988,3.7
01jul1988,4.5999999
01aug1988,4.4000001
01sep1988,3.9000001
01oct1988,3.9000001
01nov1988,3.7
01dec1988,3.9000001
01jan1989,3.5
01feb1989,4.0999999
01mar1989,3.7
01apr1989,4.3000002
01may1989,4.5999999
01jun1989,3.8
01jul1989,4.0999999
01aug1989,3.5
01sep1989,3.4000001
01oct1989,3.5999999
01nov1989,3.5
01dec1989,3.5
01jan1990,4.0999999
01feb1990,4.0999999
01mar1990,3.7
01apr1990,3.5999999
01may1990,3.4000001
01jun1990,3.8
01jul1990,3.4000001
01aug1990,4.5999999
01sep1990,4.6999998
01oct1990,4.8000002
01nov1990,4.6999998
01dec1990,4.6999998
01jan1991,3.9000001
01feb1991,3.4000001
01mar1991,3.3
01apr1991,3.2
01may1991,3.0999999
01jun1991,3.3
01jul1991,3.0999999
01aug1991,3.2
01sep1991,3
01oct1991,3.2
01nov1991,2.9000001
01dec1991,2.7
01jan1992,2.7
01feb1992,2.5999999
01mar1992,2.5999999
01apr1992,3
01may1992,2.9000001
01jun1992,3.0999999
01jul1992,2.7
01aug1992,2.8
01sep1992,3
01oct1992,2.8
01nov1992,2.9000001
01dec1992,2.8
01jan1993,2.9000001
01feb1993,3.2
01mar1993,3.0999999
01apr1993,3
01may1993,2.9000001
01jun1993,3.5
01jul1993,3
01aug1993,3.2
