dated,cpi,urate
01jan1978,62.700001,6.4000001
01feb1978,63,6.3000002
01mar1978,63.400002,6.3000002
01apr1978,63.900002,6.0999999
01may1978,64.5,6
01jun1978,65,5.9000001
01jul1978,65.5,6.1999998
01aug1978,65.900002,5.9000001
01sep1978,66.5,6
01oct1978,67.099998,5.8000002
01nov1978,67.5,5.9000001
01dec1978,67.900002,6
01jan1979,68.5,5.9000001
01feb1979,69.199997,5.9000001
01mar1979,69.900002,5.8000002
01apr1979,70.599998,5.8000002
01may1979,71.400002,5.5999999
01jun1979,72.199997,5.6999998
01jul1979,73,5.6999998
01aug1979,73.699997,6
01sep1979,74.400002,5.9000001
01oct1979,75.199997,6
01nov1979,76,5.9000001
01dec1979,76.900002,6
01jan1980,78,6.3000002
01feb1980,79,6.3000002
01mar1980,80.099998,6.3000002
01apr1980,80.900002,6.9000001
01may1980,81.699997,7.5
01jun1980,82.5,7.5999999
01jul1980,82.599998,7.8000002
01aug1980,83.199997,7.6999998
01sep1980,83.900002,7.5
01oct1980,84.699997,7.5
01nov1980,85.599998,7.5
01dec1980,86.400002,7.1999998
01jan1981,87.199997,7.5
01feb1981,88,7.4000001
01mar1981,88.599998,7.4000001
01apr1981,89.099998,7.1999998
01may1981,89.699997,7.5
01jun1981,90.5,7.5
01jul1981,91.5,7.1999998
01aug1981,92.199997,7.4000001
01sep1981,93.099998,7.5999999
01oct1981,93.400002,7.9000001
01nov1981,93.800003,8.3000002
01dec1981,94.099998,8.5
01jan1982,94.400002,8.6000004
01feb1982,94.699997,8.8999996
01mar1982,94.699997,9
01apr1982,95,9.3000002
01may1982,95.900002,9.3999996
01jun1982,97,9.6000004
01jul1982,97.5,9.8000002
01aug1982,97.699997,9.8000002
01sep1982,97.699997,10.1
01oct1982,98.099998,10.4
01nov1982,98,10.8
01dec1982,97.699997,10.8
01jan1983,97.900002,10.4
01feb1983,98,10.4
01mar1983,98.099998,10.3
01apr1983,98.800003,10.2
01may1983,99.199997,10.1
01jun1983,99.400002,10.1
01jul1983,99.800003,9.3999996
01aug1983,100.1,9.5
01sep1983,100.4,9.1999998
01oct1983,100.8,8.8000002
01nov1983,101.1,8.5
01dec1983,101.4,8.3000002
01jan1984,102.1,8
01feb1984,102.6,7.8000002
01mar1984,102.9,7.8000002
01apr1984,103.3,7.6999998
01may1984,103.5,7.4000001
01jun1984,103.7,7.1999998
01jul1984,104.1,7.5
01aug1984,104.4,7.5
01sep1984,104.7,7.3000002
01oct1984,105.1,7.4000001
01nov1984,105.3,7.1999998
01dec1984,105.5,7.3000002
01jan1985,105.7,7.3000002
01feb1985,106.3,7.1999998
01mar1985,106.8,7.1999998
01apr1985,107,7.3000002
01may1985,107.2,7.1999998
01jun1985,107.5,7.4000001
01jul1985,107.7,7.4000001
01aug1985,107.9,7.0999999
01sep1985,108.1,7.0999999
01oct1985,108.5,7.0999999
01nov1985,109,7
01dec1985,109.5,7
01jan1986,109.9,6.6999998
01feb1986,109.7,7.1999998
01mar1986,109.1,7.1999998
01apr1986,108.7,7.0999999
01may1986,109,7.1999998
01jun1986,109.4,7.1999998
01jul1986,109.5,7
01aug1986,109.6,6.9000001
01sep1986,110,7
01oct1986,110.2,7
01nov1986,110.4,6.9000001
01dec1986,110.8,6.5999999
01jan1987,111.4,6.5999999
01feb1987,111.8,6.5999999
01mar1987,112.2,6.5999999
01apr1987,112.7,6.3000002
01may1987,113,6.3000002
01jun1987,113.5,6.1999998
01jul1987,113.8,6.0999999
01aug1987,114.3,6
01sep1987,114.7,5.9000001
01oct1987,115,6
01nov1987,115.4,5.8000002
01dec1987,115.6,5.6999998
01jan1988,116,5.6999998
01feb1988,116.2,5.6999998
01mar1988,116.5,5.6999998
01apr1988,117.2,5.4000001
01may1988,117.5,5.5999999
01jun1988,118,5.4000001
01jul1988,118.5,5.4000001
01aug1988,119,5.5999999
01sep1988,119.5,5.4000001
01oct1988,119.9,5.4000001
01nov1988,120.3,5.3000002
01dec1988,120.7,5.3000002
01jan1989,121.2,5.4000001
01feb1989,121.6,5.1999998
01mar1989,122.2,5
01apr1989,123.1,5.1999998
01may1989,123.7,5.1999998
01jun1989,124.1,5.3000002
01jul1989,124.5,5.1999998
01aug1989,124.5,5.1999998
01sep1989,124.8,5.3000002
01oct1989,125.4,5.3000002
01nov1989,125.9,5.4000001
01dec1989,126.3,5.4000001
01jan1990,127.5,5.4000001
01feb1990,128,5.3000002
01mar1990,128.60001,5.1999998
01apr1990,128.89999,5.4000001
01may1990,129.10001,5.4000001
01jun1990,129.89999,5.1999998
01jul1990,130.5,5.5
01aug1990,131.60001,5.6999998
01sep1990,132.5,5.9000001
01oct1990,133.39999,5.9000001
01nov1990,133.7,6.1999998
01dec1990,134.2,6.3000002
01jan1991,134.7,6.4000001
01feb1991,134.8,6.5999999
01mar1991,134.8,6.8000002
01apr1991,135.10001,6.6999998
01may1991,135.60001,6.9000001
01jun1991,136,6.9000001
01jul1991,136.2,6.8000002
01aug1991,136.60001,6.9000001
01sep1991,137,6.9000001
01oct1991,137.2,7
01nov1991,137.8,7
01dec1991,138.2,7.3000002
01jan1992,138.3,7.3000002
01feb1992,138.60001,7.4000001
01mar1992,139.10001,7.4000001
01apr1992,139.39999,7.4000001
01may1992,139.7,7.5999999
01jun1992,140.10001,7.8000002
01jul1992,140.5,7.6999998
01aug1992,140.8,7.5999999
01sep1992,141.10001,7.5999999
01oct1992,141.7,7.3000002
01nov1992,142.10001,7.4000001
01dec1992,142.3,7.4000001
01jan1993,142.8,7.3000002
01feb1993,143.10001,7.0999999
01mar1993,143.3,7
01apr1993,143.8,7.0999999
01may1993,144.2,7.0999999
01jun1993,144.3,7
01jul1993,144.5,6.9000001
01aug1993,144.8,6.8000002
01sep1993,145,6.6999998
01oct1993,145.60001,6.8000002
01nov1993,146,6.5999999
01dec1993,146.3,6.5
01jan1994,146.3,6.5999999
01feb1994,146.7,6.5999999
01mar1994,147.10001,6.5
01apr1994,147.2,6.4000001
01may1994,147.5,6.0999999
01jun1994,147.89999,6.0999999
01jul1994,148.39999,6.0999999
01aug1994,149,6
01sep1994,149.3,5.9000001
01oct1994,149.39999,5.8000002
01nov1994,149.8,5.5999999
01dec1994,150.10001,5.5
01jan1995,150.5,5.5999999
01feb1995,150.89999,5.4000001
01mar1995,151.2,5.4000001
01apr1995,151.8,5.8000002
01may1995,152.10001,5.5999999
01jun1995,152.39999,5.5999999
01jul1995,152.60001,5.6999998
01aug1995,152.89999,5.6999998
01sep1995,153.10001,5.5999999
01oct1995,153.5,5.5
01nov1995,153.7,5.5999999
01dec1995,153.89999,5.5999999
01jan1996,154.7,5.5999999
01feb1996,155,5.5
01mar1996,155.5,5.5
01apr1996,156.10001,5.5999999
01may1996,156.39999,5.5999999
01jun1996,156.7,5.3000002
01jul1996,157,5.5
01aug1996,157.2,5.0999999
01sep1996,157.7,5.1999998
01oct1996,158.2,5.1999998
01nov1996,158.7,5.4000001
01dec1996,159.10001,5.4000001
01jan1997,159.39999,5.3000002
01feb1997,159.7,5.1999998
01mar1997,159.8,5.1999998
01apr1997,159.89999,5.0999999
01may1997,159.89999,4.9000001
01jun1997,160.2,5
01jul1997,160.39999,4.9000001
01aug1997,160.8,4.8000002
01sep1997,161.2,4.9000001
01oct1997,161.5,4.6999998
